OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,217781,263919,180266,148421,102545
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,193509,239968,164576,133734,85149
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,221264,311556,201266,161670,108728
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,175876,231855,150485,122024,91958
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,189061,248425,168011,135695,98876
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,160251,219666,138236,110615,82353
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,178510,220257,152522,120807,87206
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,159551,255492,173533,133020,104570
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,217842,263653,180467,148746,103564
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,187945,232912,159755,130224,83330
